Date,Marino,Coleraine St.,Phoenix Park,Wood Quay,Rathmines
02-May-12,13.1,14.4,18.3,16.9,21.5
03-May-12,12.5,12.7,16.2,16.7,21.4
04-May-12,11,9.6,12.9,14.7,15.1
05-May-12,8.9,4.3,9.8,12.4,12
06-May-12,8.3,9.7,12.5,13.9,12.1
07-May-12,7.6,6,6.7,7.6,10.7
08-May-12,7.6,6.1,6.4,5.4,6.3
09-May-12,6.7,5.6,10.3,10.3,12
10-May-12,5.4,6,4.4,6.9,7.4
11-May-12,4.6,3.5,5.1,6.3,6.8
12-May-12,5,5.2,6.3,6,8.3
13-May-12,5.3,4,6.7,5.6,7.8
14-May-12,5.6,5.3,11.9,13.5,14.8
15-May-12,5.6,4.4,7.6,8.5,11.5
16-May-12,6.1,6.6,11.8,12.5,16.1
17-May-12,6.5,6.4,11.3,10.7,13.9
18-May-12,9.9,11.2,12.8,13.5,18.2
19-May-12,3.2,6.4,11.6,14.3,19.3
20-May-12,12.9,18.1,23.2,23.6,32.5
21-May-12,9,14.5,17.4,16.7,21.2
22-May-12,8.3,10.7,7.3,15.3,14.4
23-May-12,6.4,8,7.9,13.3,9.7
24-May-12,7.4,9.2,11.7,17.5,20.7
25-May-12,16.9,18.6,30.4,26.1,42.1
26-May-12,13.1,15,23.6,26.4,31.4
27-May-12,15.7,15.7,26.3,23.3,32.9
28-May-12,11.8,11.4,13.3,16.4,16
29-May-12,9,9.5,11.2,13.6,15.4
30-May-12,9,10,10.7,15.4,13.6
31-May-12,5,5.8,5.5,8.6,6.5
01-Jun-12,7.6,10.3,10.9,,12.7
02-Jun-12,10.6,13.7,18.5,18.2,24.3
03-Jun-12,3.6,,9,10.4,13.1
04-Jun-12,3.3,,8.4,8.3,11.3
05-Jun-12,4,,6,6,7.9
06-Jun-12,6,7.7,5.8,12.6,11.9
07-Jun-12,6.4,5.7,8.7,13.2,9.9
08-Jun-12,5.6,11,6.4,7.8,8.1
09-Jun-12,7.6,6.6,9,13.6,11.2
10-Jun-12,8.5,5.6,10.4,14.6,12.9
11-Jun-12,8.2,8.5,10.1,15,11.8
12-Jun-12,0.8,6.1,10.5,12.1,12.3
13-Jun-12,,10.6,9.7,,12.1
14-Jun-12,7.2,7.7,11.4,,13.3
15-Jun-12,,5.9,7.9,,10.5
16-Jun-12,,2.8,3.3,,4.6
17-Jun-12,,5.4,9.1,,9.1
18-Jun-12,,6.2,8.4,,9.2
19-Jun-12,,5.5,6.7,,7.2
20-Jun-12,,9.5,11.7,,12.5
21-Jun-12,,10.4,12.9,16.3,15.4
22-Jun-12,6.9,6.1,8.6,10.6,8.1
23-Jun-12,6.8,5.6,8,8.2,9
24-Jun-12,3.2,6,6.3,9.4,7.5
25-Jun-12,5.6,7.1,8.2,6.1,8.9
26-Jun-12,4.9,5.7,5.5,7.4,6.3
27-Jun-12,3.9,5.7,6.4,8.9,8
28-Jun-12,3.8,7,6.8,11.1,8.8
29-Jun-12,3.1,5.5,4.7,7.4,7.5
30-Jun-12,5,2.8,4,5.1,6.4
01-Jul-12,4,4.5,5,7.2,8.1
02-Jul-12,4.4,4.1,3.2,5.1,5.2
03-Jul-12,6.5,5.2,4.1,7.2,6.2
04-Jul-12,7.1,6.6,9.2,12.9,10.2
05-Jul-12,7.8,6.8,11.7,12.2,11.1
06-Jul-12,11.2,10.7,14.8,16.7,14.1
07-Jul-12,7.4,5.5,11.6,13.5,13.3
08-Jul-12,2.2,4.7,6.9,8.5,7.3
09-Jul-12,2.9,4.8,6,8.2,6.7
10-Jul-12,2.4,4.3,7,8.1,8.4
